기관ID,구,주소
C1104077,강서구,서울특별시 강서구 양천로 45-1 (방화동)
C1108707,송파구,서울특별시 송파구 중대로 135 동관 1층 101-4호 (가락동)
C1101992,양천구,서울특별시 양천구 화곡로 105 (신월동)
C1101993,강동구,서울특별시 강동구 올림픽로80길 43
C1103011,서대문구,서울특별시 서대문구 세검정로1길 7 (홍은동)
C1102521,광진구,서울특별시 광진구 능동로 19
C1101991,동작구,서울특별시 동작구 서달로 158 (흑석동 명수대상가104호)
C1104643,성북구,서울특별시 성북구 아리랑로 117-7 (정릉동)
C1104257,관악구,서울특별시 관악구 대학길 36 (신림동)
C1109074,강동구,서울특별시 강동구 아리수로93나길 54 경서프라자 103호 (강일동)
C1102833,강동구,서울특별시 강동구 아리수로97길 19
C1109087,강동구,서울특별시 강동구 아리수로93나길 60 골드프라자 109호 (강일동)
C1107699,강남구,서울특별시 강남구 역삼로 310 한솔필리아 2층 26호 (역삼동)
C1108414,송파구,서울특별시 송파구 오금로 396 1층 114호 (가락동 에스케이허브파크)
C1101995,성북구,서울특별시 성북구 장월로 128 (장위동)
C1101996,구로구,서울특별시 구로구 구로동로35길 46 (구로동)
C1103013,구로구,서울특별시 구로구 고척로 123-1 (개봉동)
C1104117,구로구,서울특별시 구로구 경인로 176 308호 (오류동 시티월드)
C1101403,강남구,서울특별시 강남구 개포로 303
C1104795,강남구,서울특별시 강남구 선릉로 42 1층 (개포동)
C1108521,강남구,서울특별시 강남구 선릉로 30 개포빌딩 1층 (개포동)
C1103507,강서구,서울특별시 강서구 양천로 31
C1107272,강남구,서울특별시 강남구 선릉로 843 107호
C1107363,강남구,서울특별시 강남구 학동로20길 55 106호
C1103582,송파구,서울특별시 송파구 올림픽로 212 (잠실동 갤러리아팰리스)
C1102079,서대문구,서울특별시 서대문구 응암로 53
C1102081,송파구,서울특별시 송파구 오금로 505 (거여동)
C1107918,강남구,서울특별시 강남구 봉은사로 129 지하1층 (논현동 거평타운)
C1103009,서초구,서울특별시 서초구 서초대로 307  (서초동)
C1102082,노원구,서울특별시 노원구 한글비석로 242 113호 114호 (중계동 삼부프라자)
C1104841,동작구,서울특별시 동작구 흑석로 106-5 1층 (흑석동)
C1104487,은평구,서울특별시 은평구 연서로 216 (대조동)
C1104109,중구,서울특별시 중구 서소문로 12 (중림동)
C1103955,강북구,서울특별시 강북구 솔매로 59 (미아동)
C1107505,송파구,서울특별시 송파구 백제고분로 275 1층 (석촌동)
C1108360,은평구,서울특별시 은평구 갈현로 300 206호 (갈현동)
C1107231,강서구,서울특별시 강서구  까치산로  73 1층 (화곡동)
C1102052,구로구,서울특별시 구로구 경인로 661  (신도림동)
C1107939,노원구,서울특별시 노원구 동일로243길 33 1층 (상계동)
C1102974,동대문구,서울특별시 동대문구 왕산로 176 2층 (전농동)
C1102053,마포구,서울특별시 마포구 방울내로 70 (망원동)
